"ID","Categoria","Titulo","Archivo_original","HTML","Word_portal","Conversion_OK","Error"
"doc_001","Manual marco","01 Manual Marco Biobanco HEC CEMET","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/01_Manual_Marco_Biobanco_HEC_CEMET_v0.1.docx","doc_001.html","doc_001.docx",TRUE,""
"doc_002","POEs comunes","1. Índice POE Comunes Biobanco HEC CEMET","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/02_POE_Comunes_Biobanco_HEC_CEMET_v0.1/1.Indice_POE_Comunes_Biobanco_HEC_CEMET_v0.1.docx","doc_002.html","doc_002.docx",TRUE,""
"doc_003","POEs comunes","BB-BIO-001 - Bioseguridad, vestimenta y elementos de protección personal","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/02_POE_Comunes_Biobanco_HEC_CEMET_v0.1/BB-BIO-001 - Bioseguridad, vestimenta y elementos de protección personal.docx","doc_003.html","doc_003.docx",TRUE,""
"doc_004","POEs comunes","BB-BIO-002 - Limpieza, desinfección y orden de áreas","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/02_POE_Comunes_Biobanco_HEC_CEMET_v0.1/BB-BIO-002 - Limpieza, desinfección y orden de áreas.docx","doc_004.html","doc_004.docx",TRUE,""
"doc_005","POEs comunes","BB-BIO-003 - Gestión de residuos, derrames y exposición accidental","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/02_POE_Comunes_Biobanco_HEC_CEMET_v0.1/BB-BIO-003 - Gestión de residuos, derrames y exposición accidental.docx","doc_005.html","doc_005.docx",TRUE,""
"doc_006","POEs comunes","BB-DAT-001 - Registro y trazabilidad en NORAYBANKS","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/02_POE_Comunes_Biobanco_HEC_CEMET_v0.1/BB-DAT-001 - Registro y trazabilidad en NORAYBANKS.docx","doc_006.html","doc_006.docx",TRUE,""
"doc_007","POEs comunes","BB-DAT-002 - Confidencialidad, codificación, acceso y exportación de datos","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/02_POE_Comunes_Biobanco_HEC_CEMET_v0.1/BB-DAT-002 - Confidencialidad, codificación, acceso y exportación de datos.docx","doc_007.html","doc_007.docx",TRUE,""
"doc_008","POEs comunes","BB-EQP-001 - Operación de ultrafreezers de -80 °C","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/02_POE_Comunes_Biobanco_HEC_CEMET_v0.1/BB-EQP-001 - Operación de ultrafreezers de -80 °C.docx","doc_008.html","doc_008.docx",TRUE,""
"doc_009","POEs comunes","BB-EQP-002 - Operación segura de ultrafreezers de -150 °C","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/02_POE_Comunes_Biobanco_HEC_CEMET_v0.1/BB-EQP-002 - Operación segura de ultrafreezers de -150 °C.docx","doc_009.html","doc_009.docx",TRUE,""
"doc_010","POEs comunes","BB-EQP-003 - Monitoreo, revisión y registro de temperaturas","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/02_POE_Comunes_Biobanco_HEC_CEMET_v0.1/BB-EQP-003 - Monitoreo, revisión y registro de temperaturas.docx","doc_010.html","doc_010.docx",TRUE,""
"doc_011","POEs comunes","BB-EQP-004 - Alarmas, comunicación y respuesta fuera de horario","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/02_POE_Comunes_Biobanco_HEC_CEMET_v0.1/BB-EQP-004 - Alarmas, comunicación y respuesta fuera de horario.docx","doc_011.html","doc_011.docx",TRUE,""
"doc_012","POEs comunes","BB-EQP-005 - Mantenimiento preventivo, correctivo y calificación de equipos","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/02_POE_Comunes_Biobanco_HEC_CEMET_v0.1/BB-EQP-005 - Mantenimiento preventivo, correctivo y calificación de equipos.docx","doc_012.html","doc_012.docx",TRUE,""
"doc_013","POEs comunes","BB-EQP-006 - Contingencia, capacidad de respaldo y traslado de muestras","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/02_POE_Comunes_Biobanco_HEC_CEMET_v0.1/BB-EQP-006 - Contingencia, capacidad de respaldo y traslado de muestras.docx","doc_013.html","doc_013.docx",TRUE,""
"doc_014","POEs comunes","BB-GEN-001 - Organización, gobierno y funcionamiento general del Biobanco","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/02_POE_Comunes_Biobanco_HEC_CEMET_v0.1/BB-GEN-001 - Organización, gobierno y funcionamiento general del Biobanco.docx","doc_014.html","doc_014.docx",TRUE,""
"doc_015","POEs comunes","BB-GEN-002 - Gestión y control de documentos","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/02_POE_Comunes_Biobanco_HEC_CEMET_v0.1/BB-GEN-002 - Gestión y control de documentos.docx","doc_015.html","doc_015.docx",TRUE,""
"doc_016","POEs comunes","BB-GEN-003 - Capacitación, habilitación y competencia del personal","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/02_POE_Comunes_Biobanco_HEC_CEMET_v0.1/BB-GEN-003 - Capacitación, habilitación y competencia del personal.docx","doc_016.html","doc_016.docx",TRUE,""
"doc_017","POEs comunes","BB-GEN-004 - Acceso, circulación y visitas","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/02_POE_Comunes_Biobanco_HEC_CEMET_v0.1/BB-GEN-004 - Acceso, circulación y visitas.docx","doc_017.html","doc_017.docx",TRUE,""
"doc_018","POEs comunes","BB-GEN-005 - Gestión de incidentes, desviaciones, no conformidades y CAPA","/Volumes/TOSHIBA_EXT/Mac/Bio_informatica_cruce/Biobanco/POEs/Paquete_POE_Biobanco_HEC_CEMET_v0.1/02_POE_Comunes_Biobanco_HEC_CEMET_v0.1/BB-GEN-005 - Gestión de incidentes, desviaciones, no conformidades y CAPA.docx","doc_018.html","doc_018.docx",TRUE,""
